Station,StationCode,Date,Time,Month,Year,Chla,Pheophytin,TotAlkalinity,DissAmmonia,DissBromide,DissCalcium,DissChloride,DissNitrateNitrite,DOC,TOC,DON,DissOrthophos,TotPhos,DissSilica,TDS,TSS,VSS,TKN,Program,SpecificConductance,pH,Temperature,DO,Turbidity,DissTKN
False R Nr Oakley,FAL,3/30/2010 0:00,NA,3,2010,2.77,1.36,NA,NA,0.06,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,272.5,8.08,15.4,NA,7.57,NA
False R Nr Oakley,FAL,4/22/2010 0:00,NA,4,2010,3.24,1.57,NA,NA,0.07,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,WQES,280.3,8.09,15.9,NA,7.74,NA
False R Nr Oakley,FAL,5/11/2010 0:00,NA,5,2010,12.6,2.35,NA,NA,0.06,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,WQES,274.6,8.91,16,NA,5.89,NA
False R Nr Oakley,FAL,6/2/2010 0:00,NA,6,2010,2.23,0.74,NA,NA,0.05,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,191.6,7.9,18.6,NA,7.24,NA
False R Nr Oakley,FAL,6/28/2010 0:00,NA,6,2010,1.82,0.83,NA,NA,0.02,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,WQES,152,8.01,23.1,NA,5.37,NA
False R Nr Oakley,FAL,7/16/2010 0:00,NA,7,2010,1.73,1.22,NA,NA,0.12,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,263,8.13,22.1,NA,8.58,NA
False R Nr Oakley,FAL,8/4/2010 0:00,NA,8,2010,1.68,1.13,NA,NA,0.22,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,386.7,8.13,21.1,NA,8.34,NA
False R Nr Oakley,FAL,8/25/2010 0:00,NA,8,2010,1.06,0.82,NA,NA,0.44,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,WQES,626,8.05,22.5,NA,3.91,NA
False R Nr Oakley,FAL,9/14/2010 0:00,NA,9,2010,0.82,0.46,NA,NA,1.5,NA,443,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,WQES,1678,8.13,20.5,NA,5.72,NA
False R Nr Oakley,FAL,10/5/2010 0:00,NA,10,2010,1.47,0.73,NA,NA,0.66,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,WQES,857,8.05,20.5,NA,4.94,NA
False R Nr Oakley,FAL,10/26/2010 0:00,NA,10,2010,0.97,0.31,NA,NA,0.62,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,WQES,882,7.9,17.3,NA,5.64,NA
False R Nr Oakley,FAL,11/16/2010 0:00,NA,11,2010,1.05,0.77,NA,NA,1.32,NA,402,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,1490,7.91,15.2,NA,5.42,NA
False R Nr Oakley,FAL,12/3/2010 0:00,NA,12,2010,1.07,0.59,NA,NA,1.44,NA,434,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,WQES,1735,7.86,10.4,NA,7.18,NA
False R Nr Oakley,FAL,12/30/2010 0:00,NA,12,2010,0.72,1.15,NA,NA,0.03,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,WQES,167.5,7.6,10,NA,13,NA
False R Nr Oakley,FAL,1/19/2011 0:00,NA,1,2011,0.48,0.6,NA,NA,0.03,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,WQES,192.4,7.55,8.9,NA,10.55,NA
False R Nr Oakley,FAL,2/1/2011 0:00,NA,2,2011,0.65,0.49,NA,NA,0.04,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,209.8,7.62,9.8,NA,7.58,NA
False R Nr Oakley,FAL,2/9/2011 0:00,NA,2,2011,1.27,1.34,NA,NA,0.04,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,WQES,218.2,7.93,9.9,NA,12.73,NA
False R Nr Oakley,FAL,3/1/2011 0:00,NA,3,2011,0.84,0.71,NA,NA,0.04,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,WQES,219,7.62,9.9,NA,10.2,NA
False R Nr Oakley,FAL,3/25/2011 0:00,NA,3,2011,1.36,2.02,NA,NA,0.04,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,WQES,196.7,7.78,11.2,NA,17.6,NA
False R Nr Oakley,FAL,4/15/2011 0:00,NA,4,2011,2.11,1.64,NA,NA,0.04,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,WQES,171.8,7.69,14.7,NA,7.87,NA
False R Nr Oakley,FAL,5/12/2011 0:00,NA,5,2011,1.75,1,NA,NA,0.03,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,137.3,7.85,17.9,NA,4.89,NA
False R Nr Oakley,FAL,6/2/2011 0:00,NA,6,2011,0.88,0.45,NA,NA,0.04,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,WQES,173.8,8.22,17.4,NA,2.75,NA
False R Nr Oakley,FAL,6/22/2011 0:00,NA,6,2011,1.22,0.72,NA,NA,0.02,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,WQES,130.7,7.87,22.7,NA,3.11,NA
False R Nr Oakley,FAL,7/12/2011 0:00,NA,7,2011,1.16,0.86,NA,NA,0.02,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,WQES,120.3,7.64,22.6,NA,3.2,NA
False R Nr Oakley,FAL,8/4/2011 0:00,NA,8,2011,1.44,0.93,NA,NA,0.04,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,WQES,158.4,7.98,21.8,NA,6.57,NA
False R Nr Oakley,FAL,8/24/2011 0:00,NA,8,2011,2.71,1.35,NA,NA,0.07,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,WQES,212.2,7.94,22.4,NA,3.94,NA
False R Nr Oakley,FAL,9/16/2011 0:00,NA,9,2011,4.86,1.38,NA,NA,0.05,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,WQES,193.9,8.08,21.5,NA,3.6,NA
False R Nr Oakley,FAL,10/13/2011 0:00,NA,10,2011,1.07,0.44,NA,NA,0.03,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,WQES,158.5,7.78,18.8,NA,2.85,NA
False R Nr Oakley,FAL,11/3/2011 0:00,NA,11,2011,10.7,3.6,NA,NA,0.05,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,WQES,169.9,8.2,16,NA,6.99,NA
False R Nr Oakley,FAL,11/21/2011 0:00,NA,11,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,WQES,301.8,7.8,12.7,NA,7.27,NA
False R Nr Oakley,FAL,11/23/2011 0:00,NA,11,2011,1.79,2.18,NA,NA,0.15,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WQES,301.8,7.8,12.7,NA,7.27,NA
False R Nr Oakley,FAL,12/14/2011 0:00,NA,12,2011,0.93,0.82,NA,NA,0.54,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,WQES,773,7.65,9.3,NA,5.93,NA
False R Nr Oakley,FAL,1/11/2012 0:00,NA,1,2012,2.27,0.87,NA,NA,0.75,NA,234,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,WQES,980,7.63,8.8,NA,5.82,NA
False R Nr Oakley,FAL,2/1/2012 0:00,NA,2,2012,1.62,0.78,NA,NA,0.49,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,WQES,747,7.6,9.8,NA,8.5,NA
False R Nr Oakley,FAL,2/24/2012 0:00,NA,2,2012,2.27,1.94,NA,NA,0.16,NA,50.5,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,WQES,357,7.74,11.7,NA,11.1,NA
False R Nr Oakley,FAL,3/15/2012 0:00,NA,3,2012,1.55,1.34,NA,NA,0.21,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,WQES,419.8,7.84,12.3,NA,9.41,NA
False R Nr Oakley,FAL,4/6/2012 0:00,NA,4,2012,3.31,1.2,NA,NA,0.06,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,229,7.84,13.6,NA,9.82,NA
False R Nr Oakley,FAL,4/25/2012 0:00,NA,4,2012,6.84,3.33,NA,NA,0.08,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,255.2,7.84,18.6,NA,7.76,NA
False R Nr Oakley,FAL,5/18/2012 0:00,NA,5,2012,1.66,1.18,NA,NA,0.08,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,217.4,7.94,19.4,NA,5.42,NA
False R Nr Oakley,FAL,6/7/2012 0:00,NA,6,2012,1.47,0.78,NA,NA,0.09,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,WQES,235.5,7.78,19.7,NA,8.74,NA
False R Nr Oakley,FAL,6/27/2012 0:00,NA,6,2012,2.21,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WQES,316.8,7.85,21.2,NA,7.44,NA
False R Nr Oakley,FAL,8/1/2012 0:00,NA,8,2012,2.24,1.02,NA,NA,0.38,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,WQES,511,7.96,22.5,NA,4.56,NA
False R Nr Oakley,FAL,8/28/2012 0:00,NA,8,2012,1.75,1.1,NA,NA,0.56,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,WQES,669,7.136666667,21.7,NA,5.49,NA
False R Nr Oakley,FAL,9/26/2012 0:00,NA,9,2012,0.05,3.85,NA,NA,0.77,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,WQES,895,8,20.1,NA,4.63,NA
False R Nr Oakley,FAL,10/18/2012 0:00,NA,10,2012,28.3,5.79,NA,NA,0.81,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,WQES,1032,8.39,18.8,NA,12.1,NA
False R Nr Oakley,FAL,11/7/2012 0:00,NA,11,2012,1.27,0.85,NA,NA,1.32,NA,344,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,WQES,1380,7.65,17.6,NA,7.15,NA
False R Nr Oakley,FAL,12/4/2012 0:00,NA,12,2012,1.07,0.57,NA,NA,1.04,NA,316,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,WQES,1293,7.62,13.8,NA,6.96,NA
False R Nr Oakley,FAL,12/19/2012 0:00,NA,12,2012,0.62,0.66,NA,NA,0.16,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,WQES,371.1,7.55,10.5,NA,26.7,NA
False R Nr Oakley,FAL,1/8/2013 0:00,NA,1,2013,0.58,0.78,NA,NA,0.05,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,WQES,217.3,7.5,7.8,NA,24.9,NA
False R Nr Oakley,FAL,2/1/2013 0:00,NA,2,2013,1.23,0.45,NA,NA,0.06,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,246.5,7.63,9,NA,9.9,NA
False R Nr Oakley,FAL,2/21/2013 0:00,NA,2,2013,1.27,1.58,NA,NA,0.06,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,WQES,255.9,7.83,10.8,NA,6.46,NA
False R Nr Oakley,FAL,3/13/2013 0:00,NA,3,2013,1.79,0.64,NA,NA,0.08,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,WQES,283.8,7.91,14,NA,4.31,NA
False R Nr Oakley,FAL,4/3/2013 0:00,NA,4,2013,1.59,0.93,NA,NA,0.15,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,352.1,7.98,16.6,NA,5.53,NA
False R Nr Oakley,FAL,4/16/2013 0:00,NA,4,2013,7.58,1.91,NA,NA,0.07,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,WQES,241.7,8.09,15.9,NA,9.26,NA
False R Nr Oakley,FAL,5/22/2013 0:00,NA,5,2013,2.65,1.28,NA,NA,0.1,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,WQES,280.5,7.69,19.5,NA,10.3,NA
False R Nr Oakley,FAL,6/10/2013 0:00,NA,6,2013,2.14,1.81,NA,NA,0.16,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,WQES,344.8,7.77,20.3,NA,15,NA
False R Nr Oakley,FAL,7/3/2013 0:00,NA,7,2013,2.21,1.56,NA,NA,0.17,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,WQES,338,7.86,24.3,NA,10.6,NA
False R Nr Oakley,FAL,7/26/2013 0:00,NA,7,2013,2.9,1.44,NA,NA,0.85,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,WQES,1003,7.9,21.7,NA,10.13,NA
False R Nr Oakley,FAL,8/20/2013 0:00,NA,8,2013,2.06,0.62,NA,NA,0.79,NA,233,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,WQES,980,7.97,22.9,NA,3.8,NA
False R Nr Oakley,FAL,9/11/2013 0:00,NA,9,2013,1.95,0.68,NA,NA,0.95,NA,312,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,WQES,1308,7.94,22,NA,6.58,NA
False R Nr Oakley,FAL,10/4/2013 0:00,NA,10,2013,1.58,2.67,NA,NA,0.25,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,WQES,585,8.17,17.5,NA,6.73,NA
False R Nr Oakley,FAL,10/21/2013 0:00,NA,10,2013,1.09,0.62,NA,NA,0.81,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,1012,7.9,17.7,NA,5.74,NA
False R Nr Oakley,FAL,11/13/2013 0:00,NA,11,2013,0.96,0.65,NA,NA,1.08,NA,321,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,WQES,126.9,7.75,15,NA,5.7,NA
False R Nr Oakley,FAL,12/4/2013 0:00,NA,12,2013,1.09,0.74,NA,NA,0.91,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,1053,7.79,11.1,NA,5.32,NA
False R Nr Oakley,FAL,12/23/2013 0:00,NA,12,2013,1.87,1.43,NA,NA,1.29,NA,376,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,WQES,1502,7.7,8.1,NA,11.7,NA
False R Nr Oakley,FAL,1/15/2014 0:00,NA,1,2014,2.23,1.03,NA,NA,1.04,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,WQES,1290,7.53,9.2,NA,6.8,NA
False R Nr Oakley,FAL,2/4/2014 0:00,NA,2,2014,1.64,1.06,NA,NA,1.23,NA,393,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,WQES,1557,7.67,10.4,NA,6.06,NA
False R Nr Oakley,FAL,3/6/2014 0:00,NA,3,2014,1.79,1.02,NA,NA,0.28,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,WQES,494.6,7.56,14.4,NA,7.5,NA
False R Nr Oakley,FAL,3/25/2014 0:00,NA,3,2014,2.04,0.54,NA,NA,0.25,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,WQES,478,7.57,16.2,NA,10.4,NA
False R Nr Oakley,FAL,4/16/2014 0:00,NA,4,2014,2.3,1.25,NA,NA,0.18,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,WQES,387.3,8.02,18.2,NA,7.08,NA
False R Nr Oakley,FAL,5/7/2014 0:00,NA,5,2014,1.78,0.77,NA,NA,0.285,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,WQES,457.6,7.91,18.9,NA,8.83,NA
False R Nr Oakley,FAL,5/28/2014 0:00,NA,5,2014,1.13,1.19,NA,0.03,0.55,NA,166,0.41,3.6,3.6,0.4,0.08,0.11,NA,NA,6,NA,0.6,WQES,777,8.21,20.6,NA,5.99,NA
False R Nr Oakley,FAL,6/19/2014 0:00,NA,6,2014,1.87,0.93,NA,0.03,1.15,NA,365,0.34,2.5,2.5,0.2,0.06,0.1,NA,NA,9,NA,0.3,WQES,1478,8.02,22.1,NA,7.83,NA
False R Nr Oakley,FAL,7/14/2014 0:00,NA,7,2014,3.89,1.39,NA,0.01,0.76,NA,234,0.2,2.2,2.3,0.2,0.07,0.1,NA,NA,5,NA,0.4,WQES,993,7.97,22.9,NA,6.01,NA
False R Nr Oakley,FAL,7/31/2014 0:00,NA,7,2014,2.39,1,NA,0.02,0.63,NA,206,0.19,2.2,2.3,0.2,0.07,0.12,NA,NA,5,NA,0.3,WQES,1310,NA,NA,NA,5.55,NA
False R Nr Oakley,FAL,8/20/2014 0:00,NA,8,2014,3.29,1.13,NA,0.02,0.44,NA,152,0.23,2.1,2.1,0.2,0.07,0.08,NA,NA,6,NA,0.3,WQES,718,8.02,22.6,NA,4.95,NA
False R Nr Oakley,FAL,9/10/2014 0:00,NA,9,2014,4.69,1.37,NA,0.02,0.58,NA,181,0.15,2.2,2.6,0.2,0.08,0.11,NA,NA,6,NA,0.3,WQES,785,8.14,21.5,NA,5.26,NA
False R Nr Oakley,FAL,10/1/2014 0:00,NA,10,2014,5.45,0.98,NA,0.03,1.24,NA,353,0.26,2.4,2.6,0.2,0.09,0.09,NA,NA,7,NA,0.3,WQES,1426,8.01,21.1,NA,6.86,NA
False R Nr Oakley,FAL,10/22/2014 0:00,NA,10,2014,3.93,0.94,NA,0.04,0.93,NA,274.5,0.33,2.4,2.5,0.2,0.09,0.095,NA,NA,6,NA,0.25,WQES,1154,7.84,19.6,NA,3.94,NA
False R Nr Oakley,FAL,11/12/2014 0:00,NA,11,2014,2.35,0.95,NA,0.07,1.31,NA,367,0.49,2.2,2.3,0.2,0.07,0.1,NA,NA,8,NA,0.3,WQES,1404,7.7,17.1,NA,6.66,NA
False R Nr Oakley,FAL,12/4/2014 0:00,NA,12,2014,1.22,1.79,NA,0.13,1.8,NA,545,0.46,2.2,2.3,0.2,0.06,0.09,NA,NA,17,NA,0.5,WQES,2014,7.6,14.1,NA,12.6,NA
False R Nr Oakley,FAL,1/2/2015 0:00,NA,1,2015,1.3,2.72,NA,0.08,0.1,NA,38,0.7,5.9,6.4,0.4,0.05,0.12,NA,NA,32,NA,0.8,WQES,313.9,7.65,8.7,NA,44.3,NA
False R Nr Oakley,FAL,1/21/2015 0:00,NA,1,2015,1.12,1.05,NA,0.15,0.17,NA,58,0.82,5,5,0.5,0.07,0.1,NA,NA,12,NA,0.7,WQES,417.5,7.57,9.9,NA,20.3,NA
False R Nr Oakley,FAL,2/9/2015 0:00,NA,2,2015,1.54,1.34,NA,0.11,0.44,NA,135,0.7,4.3,4.6,0.3,0.05,0.11,NA,NA,17,NA,0.8,WQES,722,7.68,12.9,NA,19.4,NA
False R Nr Oakley,FAL,3/4/2015 0:00,NA,3,2015,1.43,0.5,NA,0.07,0.13,NA,47,0.67,4.8,5.1,0.5,0.08,0.12,NA,NA,8,NA,0.7,WQES,366.6,7.47,13.8,NA,14.8,NA
False R Nr Oakley,FAL,4/1/2015 0:00,NA,4,2015,40.37,4.58,NA,0.01,0.28,NA,90,0.14,4.6,5.2,0.3,0.02,0.09,NA,NA,18,NA,0.6,WQES,530,8.91,17.6,NA,13.4,NA
False R Nr Oakley,FAL,4/15/2015 0:00,NA,4,2015,41.95,4.31,NA,0.01,0.38,NA,121,0.19,3.8,4.3,0.2,0.03,0.12,NA,NA,28,NA,0.8,WQES,646,8.59,16.8,NA,20.8,NA
False R Nr Oakley,FAL,5/6/2015 0:00,NA,5,2015,3.65,1.97,NA,0.06,1.05,NA,318,0.24,3.4,3.5,0.4,0.06,0.11,NA,NA,16,NA,0.6,WQES,1327,7.8,19,NA,16.8,NA
False R Nr Oakley,FAL,5/27/2015 0:00,NA,5,2015,2.02,1.12,NA,0.08,0.82,NA,252,0.54,2.9,3.1,0.3,0.08,0.1,NA,NA,14,NA,0.4,WQES,1081,7.74,19.4,NA,13.6,0.3
False R Nr Oakley,FAL,6/17/2015 0:00,NA,6,2015,4.84,0.5,NA,0.02,1.5,NA,458,0.27,2.8,3,0.2,0.06,0.1,NA,NA,3,NA,0.4,WQES,1120,8.15,23.8,NA,4.76,NA
False R Nr Oakley,FAL,7/6/2015 0:00,NA,7,2015,5.18,0.5,NA,0.02,1.1,NA,368,0.4,2.9,3.1,0.3,0.09,0.11,NA,NA,4,NA,0.3,WQES,1434,7.99,23,NA,4.67,NA
False R Nr Oakley,FAL,7/29/2015 0:00,NA,7,2015,4.5,0.5,NA,0.01,0.86,NA,270,0.22,2.6,2.7,0.3,0.06,0.11,NA,NA,2,NA,0.4,WQES,1066,8.07,24.3,NA,4.86,NA
False R Nr Oakley,FAL,8/27/2015 0:00,NA,8,2015,6.43,0.5,NA,0.01,0.7,NA,249,0.21,2.7,2.9,0.5,0.08,0.1,NA,NA,4,NA,0.7,WQES,1052,8.34,22.4,NA,6.7,NA
False R Nr Oakley,FAL,9/9/2015 0:00,NA,9,2015,12.13,0.68,NA,0.01,0.86,NA,249,0.2,2.5,2.6,0.3,0.07,0.09,NA,NA,3,NA,0.3,WQES,1042,8.2,23.1,NA,3.76,NA
False R Nr Oakley,FAL,9/28/2015 0:00,NA,9,2015,5.07,0.5,NA,0.03,0.87,NA,308,0.22,2.5,2.5,0.1,0.08,0.1,NA,NA,4,NA,0.3,WQES,1284,7.98,22.1,NA,4.13,NA
False R Nr Oakley,FAL,10/21/2015 0:00,NA,10,2015,1.85,1.2,NA,0.05,0.84,NA,310,0.4,2.3,2.3,0.2,0.09,0.1,NA,NA,18,NA,0.3,WQES,1299,7.86,20,NA,10.7,NA
False R Nr Oakley,FAL,11/10/2015 0:00,NA,11,2015,2.98,0.83,NA,0.06,0.66,NA,266,NA,2.6,2.7,0.2,0.08,0.12,NA,NA,6,NA,0.4,WQES,1114,7.82,15.4,NA,6.19,NA
False R Nr Oakley,FAL,12/7/2015 0:00,NA,12,2015,12.74,2.17,NA,0.06,1.79,NA,525,0.49,2.5,2.7,0.2,0.05,0.1,NA,NA,18,NA,0.5,WQES,1999,7.65,10.8,NA,14.03,NA
False R Nr Oakley,FAL,1/5/2016 0:00,NA,1,2016,3.85,1.85,NA,0.17,1.74,NA,521,0.71,3.2,3.4,0.3,0.06,0.11,NA,NA,33,NA,0.5,WQES,1953,8.4,8.4,NA,30.6,NA
False R Nr Oakley,FAL,1/28/2016 0:00,NA,1,2016,0.97,0.7,NA,0.12,0.12,NA,40.5,0.85,5,5.2,0.4,0.06,0.12,NA,NA,30,NA,0.7,WQES,306.8,9.24,11.3,NA,43.1,NA
False R Nr Oakley,FAL,2/17/2016 0:00,NA,2,2016,1.39,0.5,NA,0.08,0.11,NA,37,0.61,4.5,4.5,0.4,0.06,0.12,NA,NA,21,NA,0.7,WQES,301,7.82,13.3,NA,28.7,NA
False R Nr Oakley,FAL,3/16/2016 0:00,NA,3,2016,0.81,0.51,NA,0.1,0.03,NA,13,0.32,5.4,5.5,0.5,0.05,0.09,NA,NA,18,NA,0.6,WQES,174.9,7.57,13.1,NA,22,NA
False R Nr Oakley,FAL,4/13/2016 0:00,NA,4,2016,2.1,0.7,NA,0.07,0.03,NA,13,0.29,3.4,3.5,0.2,0.07,0.08,NA,NA,6,NA,0.3,WQES,190.7,7.97,17.4,NA,10.8,NA
False R Nr Oakley,FAL,4/27/2016 0:00,NA,4,2016,4.03,1.05,NA,0.03,0.04,NA,17,0.28,3.2,3.2,0.3,0.06,0.08,NA,NA,8,NA,0.4,WQES,207.4,7.86,17.3,NA,11.2,0.3
False R Nr Oakley,FAL,5/17/2016 0:00,NA,5,2016,24.79,5.36,NA,NA,0.06,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,WQES,231.5,8.52,19.6,NA,14.6,NA
False R Nr Oakley,FAL,6/7/2016 0:00,NA,6,2016,2.63,1.6,NA,NA,0.18,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,WQES,344.9,7.71,21.7,NA,15.3,NA
False R Nr Oakley,FAL,6/29/2016 0:00,NA,6,2016,4.17,1.98,NA,NA,0.24,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,WQES,389.3,8.32,23.1,NA,10.8,NA
False R Nr Oakley,FAL,7/20/2016 0:00,NA,7,2016,3.03,0.77,NA,NA,0.37,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,WQES,532,7.95,22.3,NA,6.17,NA
False R Nr Oakley,FAL,8/10/2016 0:00,NA,8,2016,2.36,1.16,NA,NA,0.39,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,WQES,556,7.95,22.4,NA,6.49,NA
False R Nr Oakley,FAL,9/6/2016 0:00,NA,9,2016,2.17,0.95,NA,NA,0.95,NA,289,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,WQES,1190,7.87,21.1,NA,11.3,NA
False R Nr Oakley,FAL,10/5/2016 0:00,NA,10,2016,1.42,0.6,NA,NA,1.1,NA,325,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,WQES,NA,NA,NA,NA,NA,NA
False R Nr Oakley,FAL,11/9/2016 0:00,NA,11,2016,1.35,0.6,NA,NA,1.35,NA,378.5,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,WQES,1763,7.43,17.5,NA,6.08,NA
False R Nr Oakley,FAL,12/29/2016 0:00,NA,12,2016,0.56,0.53,NA,NA,0.06,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,WQES,204.4,7.53,8.4,NA,21.5,NA
False R Nr Oakley,FAL,1/31/2017 0:00,NA,1,2017,0.88,0.67,NA,NA,0.04,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,WQES,184.6,7.44,9.6,NA,25.8,NA
False R Nr Oakley,FAL,3/8/2017 0:00,NA,3,2017,0.93,0.6,NA,NA,0.04,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,WQES,192,7.49,12.15,NA,16.27,NA
False R Nr Oakley,FAL,4/12/2017 0:00,NA,4,2017,1.46,0.78,NA,NA,0.04,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,WQES,159,7.4,15.19,NA,8.2,NA
False R Nr Oakley,FAL,5/19/2017 0:00,NA,5,2017,1.01,0.5,NA,NA,0.02,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,WQES,111,7.56,17.29,NA,5.4,NA
False R Nr Oakley,FAL,6/22/2017 0:00,NA,6,2017,2.09,0.66,NA,NA,0.02,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,WQES,133,7.51,23.77,NA,4.4,NA
False R Nr Oakley,FAL,7/18/2017 0:00,NA,7,2017,14.55,4.71,NA,NA,0.02,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,WQES,131,7.45,24.32,NA,8,NA
False R Nr Oakley,FAL,8/18/2017 0:00,NA,8,2017,1.7,1.36,NA,NA,0.1,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,WQES,227.1,7.69,22.41,NA,4.24,NA
